Gennemsnitlig udgift pr. voksen autist ved brug af botilbud,2018,2019,2020,2021,2022,Velfærdsområde,Sektor
Botilbudslignende tilbud,7.756.00 kr.,7.444.00 kr.,6.912.00 kr.,6.405.00 kr.,5.451.00 kr.,Sundhedsområdet,Kommune
Botilbudslignende tilbud,27.432.00 kr.,25.789.00 kr.,23.544.00 kr.,24.509.00 kr.,22.810.00 kr.,Sundhedsområdet,Region
Botilbudslignende tilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Sundhedsområdet,Stat
Botilbudslignende tilbud,35.188.00 kr.,33.233.00 kr.,30.456.00 kr.,30.915.00 kr.,28.261.00 kr.,Sundhedsområdet,I alt
Botilbudslignende tilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Kommune
Botilbudslignende tilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Uddannelsesområdet,Region
Botilbudslignende tilbud,1.060.00 kr.,905.00 kr.,1.191.00 kr.,993.00 kr.,778.00 kr.,Uddannelsesområdet,Stat
Botilbudslignende tilbud,1.060.00 kr.,905.00 kr.,1.191.00 kr.,993.00 kr.,778.00 kr.,Uddannelsesområdet,I alt
Ingen botilbud,224.162.00 kr.,213.328.00 kr.,210.725.00 kr.,202.721.00 kr.,196.975.00 kr.,I alt,I alt
Ingen botilbud,62.065.00 kr.,58.826.00 kr.,58.044.00 kr.,54.417.00 kr.,52.767.00 kr.,Beskæftigelsesområd,Kommune
Ingen botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Beskæftigelsesområd,Region
Ingen botilbud,20.401.00 kr.,20.013.00 kr.,21.071.00 kr.,19.612.00 kr.,18.913.00 kr.,Beskæftigelsesområd,Stat
Ingen botilbud,82.466.00 kr.,78.839.00 kr.,79.115.00 kr.,74.029.00 kr.,71.680.00 kr.,Beskæftigelsesområd,I alt
Ingen botilbud,38.159.00 kr.,36.095.00 kr.,35.362.00 kr.,34.236.00 kr.,33.460.00 kr.,Socialområdet,Kommune
Ingen botilbud,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,0.00 kr.,Socialområdet,Region
Ingen botilbud,6.055.00 kr.,5.668.00 kr.,5.547.00 kr.,5.408.00 kr.,5.257.00 kr.,Socialområdet,Stat
Ingen botilbud,44.214.00 kr.,41.763.00 kr.,40.909.00 kr.,39.644.00 kr.,38.718.00 kr.,Socialområdet,I alt
Ingen botilbud,6.559.00 kr.,5.775.00 kr.,5.247.00 kr.,5.172.00 kr.,4.646.00 kr.,Sundhedsområdet,Kommune
