Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Jættestuevej 4,  4573 Højby",https://www.boliga.dk/adresse/jaettestuevej-4-4573-hoejby-2041801008,Villa med 4 værelser,2.395.000 kr.,4,165 m²,3.978 m²,55.930425,11.538155
"Nørholmvej 3,  7361 Ejstrupholm",https://www.boliga.dk/adresse/noerholmvej-3-7361-ejstrupholm-1606522389,Villa med 8 værelser,2.495.000 kr.,8,253 m²,8.981 m²,55.983369,9.302824
"Haralds Toft 17, Nordby,  6720 Fanø",https://www.boliga.dk/adresse/haralds-toft-17-6720-fanoe-1691809421,Fritidshus med 4 værelser,2.498.000 kr.,4,75 m²,8.280 m²,55.435898,8.385967
"Krogsbækvej 4,  8543 Hornslet",https://www.boliga.dk/adresse/krogsbaekvej-4-8543-hornslet-2142139177,Villa med 6 værelser,2.498.000 kr.,6,200 m²,15.000 m²,56.351916,10.284017
"Harager 19, Ferup,  6640 Lunderskov",https://www.boliga.dk/adresse/harager-19-6640-lunderskov-578382432,Villa med 7 værelser,2.595.000 kr.,7,263 m²,15.006 m²,,
"Udlodgyden 20, Davinde,  5220 Odense SØ",https://www.boliga.dk/adresse/udlodgyden-20-5220-odense-soe-234937192,Villa med 7 værelser,2.695.000 kr.,7,267 m²,44.935 m²,55.334325,10.543509
"Lyngbakken 15, Skuldelev,  4050 Skibby",https://www.boliga.dk/adresse/lyngbakken-15-4050-skibby-1375768488,Fritidshus med 3 værelser,2.995.000 kr.,3,95 m²,3.822 m²,55.79054,12.053001
"Fussingøvej 4A,  9240 Nibe",https://www.boliga.dk/adresse/fussingoevej-4a-9240-nibe-348022706,Villa med 5 værelser,2.995.000 kr.,5,205 m²,2.251 m²,57.004981,9.738206
"Fjællebrovejen 35,  5762 Vester Skerninge",https://www.boliga.dk/adresse/fjaellebrovejen-35-5762-vester-skerninge-1151020797,Villa med 6 værelser,2.995.000 kr.,6,222 m²,2.925 m²,55.062146,10.390408
"Roldvej 55, Rold,  5492 Vissenbjerg",https://www.boliga.dk/adresse/roldvej-55-5492-vissenbjerg-1548945809,Landejendom med 5 værelser,2.995.000 kr.,5,230 m²,55.300 m²,,
"Markebækvej 9,  3320 Skævinge",https://www.boliga.dk/adresse/markebaekvej-9-3320-skaevinge-1979876629,Villa med 4 værelser,2.995.000 kr.,4,117 m²,3.257 m²,55.908796,12.118876
"Damvejen 2,  9220 Aalborg Øst",https://www.boliga.dk/adresse/damvejen-2-9220-aalborg-oest-126185419,Villa med 6 værelser,3.295.000 kr.,6,234 m²,1.614 m²,57.044854,10.01167
"Hammertoften 32, Vejleby,  4050 Skibby",https://www.boliga.dk/adresse/hammertoften-32-4050-skibby-1313044381,Fritidshus med 3 værelser,3.795.000 kr.,3,61 m²,2.488 m²,,
"Rosenvænget 55,  6800 Varde",https://www.boliga.dk/adresse/rosenvaenget-55-6800-varde-777997946,Villa med 12 værelser,3.800.000 kr.,12,415 m²,1.867 m²,55.633362,8.485563
"Spurvevej 19, Ellinge Lyng,  4560 Vig",https://www.boliga.dk/adresse/spurvevej-19-4560-vig-521193555,Fritidshus med 4 værelser,3.995.000 kr.,4,96 m²,2.025 m²,55.883111,11.535174
"Skovmarksvej 41, Vetterslev,  4100 Ringsted",https://www.boliga.dk/adresse/skovmarksvej-41-4100-ringsted-1631582507,Landejendom med 10 værelser,3.995.000 kr.,10,263 m²,28.000 m²,55.376328,11.784996
"Thorsøvej 90, Grølsted,  8882 Fårvang",https://www.boliga.dk/adresse/thorsoevej-90-8882-faarvang-1225876028,Landejendom med 6 værelser,3.995.000 kr.,6,277 m²,31.000 m²,56.282199,9.761598
"Strands Mosevej 26,  8420 Knebel",https://www.boliga.dk/adresse/strands-mosevej-26-8420-knebel-834439591,Fritidshus med 5 værelser,3.995.000 kr.,5,152 m²,9.820 m²,56.18001,10.478315
"Guldbækvej 133B,  9530 Støvring",https://www.boliga.dk/adresse/guldbaekvej-133b-9530-stoevring-667167345,Villa med 4 værelser,3.995.000 kr.,4,146 m²,8.270 m²,56.925247,9.794005
"Damstien 22,  6100 Haderslev",https://www.boliga.dk/adresse/damstien-22-6100-haderslev-1713258080,Villa med 4 værelser,4.220.000 kr.,4,152 m²,1.975 m²,55.246217,9.47956
"Gåsevænget 17,  4400 Kalundborg",https://www.boliga.dk/adresse/gaasevaenget-17-4400-kalundborg-1132169786,Fritidshus med 4 værelser,5.495.000 kr.,4,163 m²,3.475 m²,55.74131,11.106338
"Almevej 165,  3250 Gilleleje",https://www.boliga.dk/adresse/almevej-165-3250-gilleleje-1193273813,Villa med 5 værelser,5.495.000 kr.,5,145 m²,3.529 m²,56.11873,12.281369
"Banetoften 10,  8530 Hjortshøj",https://www.boliga.dk/adresse/banetoften-10-8530-hjortshoej-1069000091,Villa med 8 værelser,5.699.000 kr.,8,350 m²,1.602 m²,56.241627,10.262261
"Grusgyden 31,  5450 Otterup",https://www.boliga.dk/adresse/grusgyden-31-5450-otterup-977490167,Landejendom med 4 værelser,5.900.000 kr.,4,117 m²,336.429 m²,55.477104,10.417077
"Gyrstinge Skovhuse 16, Gyrstinge,  4100 Ringsted",https://www.boliga.dk/adresse/gyrstinge-skovhuse-16-4100-ringsted-632785730,Landejendom med 4 værelser,5.995.000 kr.,4,168 m²,25.219 m²,55.481953,11.653581
"Havelse Mølle 25, Havelse Mølle,  3600 Frederikssund",https://www.boliga.dk/adresse/havelse-moelle-25-3600-frederikssund-463746904,Villa med 4 værelser,5.995.000 kr.,4,131 m²,1.662 m²,55.88148,12.069976
"Løvkærsvej 2,  4040 Jyllinge",https://www.boliga.dk/adresse/loevkaersvej-2-4040-jyllinge-2105740460,Villa med 9 værelser,5.995.000 kr.,9,350 m²,1.572 m²,55.755685,12.106934
"Dianavej 43,  8400 Ebeltoft",https://www.boliga.dk/adresse/dianavej-43-8400-ebeltoft-684919283,Fritidshus med 6 værelser,6.495.000 kr.,6,226 m²,2.758 m²,56.22876,10.744645
"Fjordvej 42,  8340 Malling",https://www.boliga.dk/adresse/fjordvej-42-8340-malling-256996324,Fritidshus med 5 værelser,7.795.000 kr.,5,187 m²,6.587 m²,56.02219,10.257027
