Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude
"Forten 6, Vellev,  8860 Ulstrup",https://www.boliga.dk/adresse/forten-6-8860-ulstrup-1899834335,Landejendom med 5 værelser,-17%  995.000 kr.,5,70 m²,6.953 m²,56.362937,9.805614
"Genvej 4 Dør/lejl. 43,  3770 Allinge",https://www.boliga.dk/adresse/genvej-4-43-3770-allinge-1427344314,Fritidshus med 2 værelser,995.000 kr.,2,46 m²,21.631 m²,,
"Bovlund Bjergvej 2,  6535 Branderup J",https://www.boliga.dk/adresse/bovlund-bjergvej-2-6535-branderup-j-1189300320,Villa med 4 værelser,1.095.000 kr.,4,175 m²,1.691 m²,55.115907,9.073623
"Blenstrupvej 2, Sejlstrup,  9520 Skørping",https://www.boliga.dk/adresse/blenstrupvej-2-9520-skoerping-1674884474,Villa med 4 værelser,1.195.000 kr.,4,175 m²,2.042 m²,56.846229,9.951033
"Svollingvej 46, Husby,  6990 Ulfborg",https://www.boliga.dk/adresse/svollingvej-46-6990-ulfborg-184191278,Fritidshus med 4 værelser,1.195.000 kr.,4,75 m²,5.004 m²,,
"Østervangsvej 69, Øby,  8830 Tjele",https://www.boliga.dk/adresse/oestervangsvej-69-8830-tjele-527080866,Villa med 6 værelser,-10%  1.250.000 kr.,6,192 m²,2.077 m²,56.454234,9.632551
"Kongestien 2,  4912 Harpelunde",https://www.boliga.dk/adresse/kongestien-2-4912-harpelunde-1126228108,Villa med 5 værelser,1.295.000 kr.,5,166 m²,1.822 m²,54.872434,11.053443
"Bodumvej 3,  6230 Rødekro",https://www.boliga.dk/adresse/bodumvej-3-6230-roedekro-2073153801,Landejendom med 5 værelser,-58%  1.395.000 kr.,5,227 m²,22.000 m²,55.080007,9.369
"Stejlbjergvej 20,  9800 Hjørring",https://www.boliga.dk/adresse/stejlbjergvej-20-9800-hjoerring-100850062,Landejendom med 6 værelser,-3%  1.445.000 kr.,6,185 m²,19.819 m²,57.561445,10.075983
"Slagstrupvej 2,  4200 Slagelse",https://www.boliga.dk/adresse/slagstrupvej-2-4200-slagelse-1104413133,Villa med 4 værelser,1.795.000 kr.,4,160 m²,2.746 m²,55.427908,11.382302
"Saltum Strandvej 185,  9493 Saltum",https://www.boliga.dk/adresse/saltum-strandvej-185-9493-saltum-897954691,Fritidshus med 4 værelser,-13%  1.995.000 kr.,4,96 m²,2.360 m²,57.287737,9.637827
"Nygårdsvej 39, Nygård,  4500 Nykøbing Sj",https://www.boliga.dk/adresse/nygaardsvej-39-4500-nykoebing-sj-2106035059,Villa med 5 værelser,-5%  1.995.000 kr.,5,147 m²,2.088 m²,,
"Frijsendalvej 76, Sall,  8450 Hammel",https://www.boliga.dk/adresse/frijsendalvej-76-8450-hammel-794623066,Villa med 6 værelser,-9%  1.995.000 kr.,6,366 m²,5.000 m²,56.28062,9.853903
"Frøkærvej 42,  6710 Esbjerg V",https://www.boliga.dk/adresse/froekaervej-42-6710-esbjerg-v-1850454609,Landejendom med 4 værelser,2.198.000 kr.,4,186 m²,5.707 m²,55.551111,8.415695
"Slagelse Landevej 176,  4241 Vemmelev",https://www.boliga.dk/adresse/slagelse-landevej-176-4241-vemmelev-988076495,Landejendom med 7 værelser,2.295.000 kr.,7,214 m²,17.000 m²,55.373334,11.289695
"Porfyrvej 6, Knud,  7860 Spøttrup",https://www.boliga.dk/adresse/porfyrvej-6-7860-spoettrup-1681200360,Fritidshus med 4 værelser,2.300.000 kr.,4,50 m²,8.800 m²,,
"Forten 13,  8860 Ulstrup",https://www.boliga.dk/adresse/forten-13-8860-ulstrup-1375385863,Landejendom med 7 værelser,-2%  2.345.000 kr.,7,237 m²,22.064 m²,56.359213,9.806266
"Bøggildsvej 11,  8530 Hjortshøj",https://www.boliga.dk/adresse/boeggildsvej-11-8530-hjortshoej-830626502,Villa med 2 værelser,2.495.000 kr.,2,77 m²,7.930 m²,56.268379,10.206107
"Tøsby Mosevej 3, Tøsby,  7321 Gadbjerg",https://www.boliga.dk/adresse/toesby-mosevej-3-7321-gadbjerg-511033277,Villa med 5 værelser,-7%  2.495.000 kr.,5,161 m²,4.226 m²,55.759511,9.315281
"Skolevej 8,  5874 Hesselager",https://www.boliga.dk/adresse/skolevej-8-5874-hesselager-1457736887,Villa med 6 værelser,2.495.000 kr.,6,170 m²,3.407 m²,55.174465,10.744662
"Strandjægervej 28, Kulhuse,  3630 Jægerspris",https://www.boliga.dk/adresse/strandjaegervej-28-3630-jaegerspris-1493791095,Fritidshus med 4 værelser,2.995.000 kr.,4,74 m²,2.829 m²,55.933292,11.92848
"Assensvej 536, Faldsled,  5642 Millinge",https://www.boliga.dk/adresse/assensvej-536-5642-millinge-621617774,Landejendom med 7 værelser,3.200.000 kr.,7,155 m²,125.000 m²,55.155793,10.146487
"Tåningvej 25,  8660 Skanderborg",https://www.boliga.dk/adresse/taaningvej-25-8660-skanderborg-1815050213,Villa med 5 værelser,-6%  3.395.000 kr.,5,200 m²,19.503 m²,55.999396,9.843148
"Bredevej 1,  4872 Idestrup",https://www.boliga.dk/adresse/bredevej-1-4872-idestrup-1056487172,Villa med 8 værelser,-4%  3.725.000 kr.,8,230 m²,8.735 m²,54.730148,11.970265
"Dellerupvej 8,  7500 Holstebro",https://www.boliga.dk/adresse/dellerupvej-8-7500-holstebro-1631053994,Landejendom med 15 værelser,5.995.000 kr.,15,799 m²,30.000 m²,56.398579,8.596377
"Degnevænget 90, Bjergby,  9800 Hjørring",https://www.boliga.dk/adresse/degnevaenget-90-9800-hjoerring-241248346,Villa med 5 værelser,7.495.000 kr.,5,257 m²,3.854 m²,57.50972,10.049513
"Skovalleen 29,  2880 Bagsværd",https://www.boliga.dk/adresse/skovalleen-29-2880-bagsvaerd-1333052115,Villa med 8 værelser,26.500.000 kr.,8,401 m²,4.040 m²,55.769113,12.442954
"Tryvej 39,  9330 Dronninglund",https://www.boliga.dk/adresse/tryvej-39-9330-dronninglund-1702626155,Villa med 4 værelser,-22%  299.000 kr.,4,119 m²,1.594 m²,57.14878,10.19643
"Struervej 21, Handbjerg,  7830 Vinderup",https://www.boliga.dk/adresse/struervej-21-7830-vinderup-1663852419,Villa med 4 værelser,350.000 kr.,4,147 m²,2.336 m²,56.470907,8.716411
"Barløsevej 9, Barløse,  5610 Assens",https://www.boliga.dk/adresse/barloesevej-9-5610-assens-793451928,Villa med 5 værelser,-8%  1.095.000 kr.,5,135 m²,1.722 m²,55.3326256,9.9717339
"Gundesbølhedevej 7, Ådum,  6880 Tarm",https://www.boliga.dk/adresse/gundesboelhedevej-7-6880-tarm-1872371783,Villa med 7 værelser,-6%  1.595.000 kr.,7,266 m²,5.783 m²,,
"Lanstigvej 3,  8882 Fårvang",https://www.boliga.dk/adresse/lanstigvej-3-8882-faarvang-1703571320,Villa med 5 værelser,-4%  2.395.000 kr.,5,151 m²,18.445 m²,56.265562,9.719034
"Stationsvej 52, Pjedsted,  7000 Fredericia",https://www.boliga.dk/adresse/stationsvej-52-7000-fredericia-1851150244,Villa med 6 værelser,-4%  2.595.000 kr.,6,173 m²,1.881 m²,55.602536,9.654688
"Emmelstenvej 26,  7884 Fur",https://www.boliga.dk/adresse/emmelstenvej-26-7884-fur-438756892,Fritidshus med 4 værelser,2.895.000 kr.,4,108 m²,4.825 m²,56.839992,8.98848
"Tingvej 43,  9380 Vestbjerg",https://www.boliga.dk/adresse/tingvej-43-9380-vestbjerg-1566770152,Villa med 3 værelser,-3%  2.895.000 kr.,3,113 m²,5.220 m²,57.123027,9.985456
"Skytsbjergvej 20, Lyngby,  8472 Sporup",https://www.boliga.dk/adresse/skytsbjergvej-20-8472-sporup-1066042428,Landejendom med 6 værelser,2.995.000 kr.,6,207 m²,62.290 m²,,
"Bøjstrupvej 11, Marie Magdalene,  8550 Ryomgård",https://www.boliga.dk/adresse/boejstrupvej-11-8550-ryomgaard-1906798560,Villa med 5 værelser,-4%  3.600.000 kr.,5,150 m²,10.670 m²,56.387914,10.479121
"Ashøjgade 50,  7760 Hurup Thy",https://www.boliga.dk/adresse/ashoejgade-50-7760-hurup-thy-1931519645,Landejendom med 8 værelser,3.995.000 kr.,8,290 m²,24.100 m²,56.755233,8.411655
"Fyrvej 55,  6857 Blåvand",https://www.boliga.dk/adresse/fyrvej-55-6857-blaavand-1892056018,Fritidshus med 4 værelser,4.998.000 kr.,4,139 m²,17.580 m²,55.552064,8.104111
"Koldingvej 71, Vester Nebel,  6040 Egtved",https://www.boliga.dk/adresse/koldingvej-71-6040-egtved-1900447335,Landejendom med 5 værelser,-3%  5.795.000 kr.,5,147 m²,142.000 m²,55.555105,9.41056
"Nybøllevej 14, Ledøje,  2765 Smørum",https://www.boliga.dk/adresse/nyboellevej-14-2765-smoerum-947699245,Villa med 9 værelser,7.250.000 kr.,9,189 m²,2.669 m²,55.713105,12.288069
"Gedser Feriepark 15,  4874 Gedser",https://www.boliga.dk/adresse/gedser-feriepark-15-4874-gedser-1479481279,Fritidshus med 3 værelser,625.000 kr.,3,42 m²,62.480 m²,54.582779,11.923638
"Allingdamvej 135,  9850 Hirtshals",https://www.boliga.dk/adresse/allingdamvej-135-9850-hirtshals-411301310,Landejendom med 2 værelser,1.445.000 kr.,2,144 m²,21.330 m²,57.54773,10.025385
"Bollervej 136,  8700 Horsens",https://www.boliga.dk/adresse/bollervej-136-8700-horsens-1148609812,Landejendom med 7 værelser,2.650.000 kr.,7,237 m²,66.910 m²,55.822552,9.912231
"Landevejen 11,  5882 Vejstrup",https://www.boliga.dk/adresse/landevejen-11-5882-vejstrup-206650849,Villa med 6 værelser,2.845.000 kr.,6,231 m²,7.714 m²,55.103973,10.711179
"Tøsbygårde 3, Tøsby,  7321 Gadbjerg",https://www.boliga.dk/adresse/toesbygaarde-3-7321-gadbjerg-423030756,Helårsgrund,245.000 kr.,3.355 m²,Ejerudgift: 213 kr. / md.,,55.757834,9.315057
"Gammel Smidievej 9, Smidie,  9574 Bælum",https://www.boliga.dk/adresse/gammel-smidievej-9-9574-baelum-1763950135,Villa med 4 værelser,-8%  545.000 kr.,4,131 m²,1.934 m²,56.861172,10.13849
"Koglevej 6,  8410 Rønde",https://www.boliga.dk/adresse/koglevej-6-8410-roende-1742724984,Fritidshus med 5 værelser,-14%  598.000 kr.,5,79 m²,2.010 m²,56.356591,10.445634
"Havsnæsvej 9, Vesternæs,  4900 Nakskov",https://www.boliga.dk/adresse/havsnaesvej-9-4900-nakskov-1583432735,Villa med 5 værelser,795.000 kr.,5,128 m²,3.825 m²,54.787993,11.004638
"Gribstrupvej 1, Gribstrup,  8765 Klovborg",https://www.boliga.dk/adresse/gribstrupvej-1-8765-klovborg-339097773,Villa med 4 værelser,795.000 kr.,4,156 m²,1.501 m²,,
"Øksendrupvej 33, Mikkelenborg,  5871 Frørup",https://www.boliga.dk/adresse/oeksendrupvej-33-5871-froerup-759327091,Villa med 5 værelser,1.145.000 kr.,5,134 m²,1.726 m²,,
"Grønnegade 22, Farre,  7323 Give",https://www.boliga.dk/adresse/groennegade-22-7323-give-846119111,Villa med 4 værelser,1.395.000 kr.,4,200 m²,1.766 m²,55.804316,9.255918
"Nykøbingvej 323, Radsted,  4990 Sakskøbing",https://www.boliga.dk/adresse/nykoebingvej-323-4990-sakskoebing-868239741,Villa med 6 værelser,1.595.000 kr.,6,179 m²,19.583 m²,54.775396,11.733828
"Skolevej 10,  8721 Daugård",https://www.boliga.dk/adresse/skolevej-10-8721-daugaard-480135722,Villa med 12 værelser,1.645.000 kr.,12,294 m²,5.177 m²,55.731252,9.709614
"Lundegårdsvej 5,  4736 Karrebæksminde",https://www.boliga.dk/adresse/lundegaardsvej-5-4736-karrebaeksminde-1689891676,Fritidshus med 4 værelser,-9%  1.995.000 kr.,4,51 m²,144.487 m²,55.181682,11.635162
"Skovhusevej 38, Eriknauer,  8723 Løsning",https://www.boliga.dk/adresse/skovhusevej-38-8723-loesning-152855758,Villa med 3 værelser,-23%  1.995.000 kr.,3,70 m²,88.886 m²,,
"Sortebærvej 18, Vedersø,  6990 Ulfborg",https://www.boliga.dk/adresse/sortebaervej-18-6990-ulfborg-1101517132,Fritidshus med 3 værelser,-5%  2.095.000 kr.,3,109 m²,2.046 m²,56.253707,8.139589
"Lunderskovvej 11,  6600 Vejen",https://www.boliga.dk/adresse/lunderskovvej-11-6600-vejen-1803955392?e=2158842,Landejendom med 12 værelser,2.195.000 kr.,12,428 m²,29.350 m²,55.560095,9.218559
"Torngårdvej 5, Nørre Nissum,  7620 Lemvig",https://www.boliga.dk/adresse/torngaardvej-5-7620-lemvig-2098100968,Villa med 7 værelser,-4%  2.395.000 kr.,7,250 m²,3.632 m²,,
"Øllemosevej 7, Flakkebjerg,  4261 Dalmose",https://www.boliga.dk/adresse/oellemosevej-7-4261-dalmose-1494785617,Villa med 7 værelser,-3%  2.795.000 kr.,7,220 m²,5.583 m²,,
"Vibevej 5,  4450 Jyderup",https://www.boliga.dk/adresse/vibevej-5-4450-jyderup-1403155889,Villa med 6 værelser,-3%  2.920.000 kr.,6,185 m²,1.529 m²,55.650833,11.399202
"Klitmøllervej 42,  7700 Thisted",https://www.boliga.dk/adresse/klitmoellervej-42-7700-thisted-253781631,Landejendom med 6 værelser,3.095.000 kr.,6,177 m²,59.102 m²,56.993783,8.639121
"Brinkevej 14D, Sandkås,  3770 Allinge",https://www.boliga.dk/adresse/brinkevej-14d-3770-allinge-904781829,Fritidshus med 3 værelser,-7%  3.250.000 kr.,3,73 m²,3.150 m²,55.256096,14.814385
"Skelstrupvej 46,  4930 Maribo",https://www.boliga.dk/adresse/skelstrupvej-46-4930-maribo-1156662853,Villa med 4 værelser,-9%  3.995.000 kr.,4,202 m²,21.288 m²,54.783493,11.521553
"Skibstrupvej 26A,  3140 Ålsgårde",https://www.boliga.dk/adresse/skibstrupvej-26a-3140-aalsgaarde-1364411364,Landejendom med 9 værelser,9.250.000 kr.,9,283 m²,91.644 m²,56.072328,12.512548
"Kragemarken 42, Tornby,  9850 Hirtshals",https://www.boliga.dk/adresse/kragemarken-42-9850-hirtshals-758553193,Fritidsgrund,400.000 kr.,2.500 m²,Ejerudgift: 637 kr. / md.,,57.558474,9.935083
"Harritslevvej 56, Harritslev,  5400 Bogense",https://www.boliga.dk/adresse/harritslevvej-56-5400-bogense-690108889,Villa med 4 værelser,550.000 kr.,4,100 m²,1.526 m²,55.545652,10.106798
"Ny Viborgvej 9,  7840 Højslev",https://www.boliga.dk/adresse/ny-viborgvej-9-7840-hoejslev-1190931887,Villa med 4 værelser,950.000 kr.,4,138 m²,1.672 m²,56.55016,9.124059
"Rønningen 5,  9560 Hadsund",https://www.boliga.dk/adresse/roenningen-5-9560-hadsund-502494148,Villa med 4 værelser,-15%  995.000 kr.,4,156 m²,3.160 m²,56.799455,10.237797
"Tingvej 82, Tostrup,  9632 Møldrup",https://www.boliga.dk/adresse/tingvej-82-9632-moeldrup-1561611001,Villa med 4 værelser,995.000 kr.,4,145 m²,1.668 m²,56.619457,9.47087
"Linievej 17, Kastrup,  4760 Vordingborg",https://www.boliga.dk/adresse/linievej-17-4760-vordingborg-1188779281,Villa med 5 værelser,1.095.000 kr.,5,203 m²,4.847 m²,55.031532,11.893215
"Svanholmsmindevej 39, Svanfolk,  9574 Bælum",https://www.boliga.dk/adresse/svanholmsmindevej-39-9574-baelum-362329400,Landejendom med 7 værelser,1.395.000 kr.,7,234 m²,17.100 m²,56.841374,10.082245
"Kirkesvinget 2, Oue,  9500 Hobro",https://www.boliga.dk/adresse/kirkesvinget-2-9500-hobro-904902408,Villa med 10 værelser,1.495.000 kr.,10,277 m²,4.036 m²,56.693762,9.971907
"Skjesbjergvej 4, Vellev,  8860 Ulstrup",https://www.boliga.dk/adresse/skjesbjergvej-4-8860-ulstrup-994076733,Villa med 13 værelser,-9%  1.995.000 kr.,13,309 m²,4.035 m²,56.369691,9.822401
"Slibestenen 4,  4281 Gørlev",https://www.boliga.dk/adresse/slibestenen-4-4281-goerlev-1751661635,Villa med 6 værelser,1.995.000 kr.,6,228 m²,2.666 m²,55.546854,11.222839
"Lundby Hovedgade 63,  4750 Lundby",https://www.boliga.dk/adresse/lundby-hovedgade-63-4750-lundby-1258123757,Villa med 9 værelser,-9%  2.095.000 kr.,9,268 m²,1.512 m²,55.108978,11.872063
"Aabyvej 5,  3700 Rønne",https://www.boliga.dk/adresse/aabyvej-5-3700-roenne-869684353,Landejendom med 11 værelser,2.195.000 kr.,11,431 m²,25.000 m²,55.144603,14.731969
"Ebeltoftvej 27, Søholt,  8400 Ebeltoft",https://www.boliga.dk/adresse/ebeltoftvej-27-8400-ebeltoft-2043101748,Fritidshus med 2 værelser,2.195.000 kr.,2,34 m²,24.230 m²,,
"Nygårdsvej 35,  5464 Brenderup Fyn",https://www.boliga.dk/adresse/nygaardsvej-35-5464-brenderup-fyn-1980362212,Landejendom med 6 værelser,-15%  2.550.000 kr.,6,135 m²,36.263 m²,55.487006,9.959306
"Fuglevad 30, Borup,  8420 Knebel",https://www.boliga.dk/adresse/fuglevad-30-8420-knebel-1231474705,Fritidshus med 8 værelser,-7%  2.795.000 kr.,8,224 m²,1.510 m²,,
"Garderhøjen 96,  4671 Strøby",https://www.boliga.dk/adresse/garderhoejen-96-4671-stroeby-1908756749,Fritidshus med 4 værelser,3.795.000 kr.,4,166 m²,4.325 m²,55.398655,12.334524
"Gudenåvej 44A+B, Nedenskov,  8740 Brædstrup",https://www.boliga.dk/adresse/gudenaavej-44-8740-braedstrup-715884953,Landejendom med 5 værelser,3.995.000 kr.,5,122 m²,154.465 m²,,
"Vejrupvej 7,  6740 Bramming",https://www.boliga.dk/adresse/vejrupvej-7-6740-bramming-1235300769,Villa med 9 værelser,-11%  3.998.000 kr.,9,262 m²,18.765 m²,55.517727,8.784999
"Hedegårdsvej 14,  7430 Ikast",https://www.boliga.dk/adresse/hedegaardsvej-14-7430-ikast-1560052544,Villa med 6 værelser,-9%  5.995.000 kr.,6,437 m²,12.355 m²,56.189834,9.154328
"Frederik VIIs Vej 2,  3400 Hillerød",https://www.boliga.dk/adresse/frederik-viis-vej-2-3400-hilleroed-1609079991,Villa med 6 værelser,-6%  7.995.000 kr.,6,278 m²,2.255 m²,55.938901,12.313088
"Dons Landevej 177,  6051 Almind",https://www.boliga.dk/adresse/dons-landevej-177-6051-almind-1393809680,Landejendom med 6 værelser,-23%  8.855.000 kr.,6,214 m²,123.000 m²,55.551162,9.440317
"Kassebøllevej 26, Kassebølle,  5900 Rudkøbing",https://www.boliga.dk/adresse/kasseboellevej-26-5900-rudkoebing-1311218525,Villa med 6 værelser,-34%  395.000 kr.,6,78 m²,5.863 m²,54.95405,10.760553
"Klinteløkken 15F 15, Sandkås,  3770 Allinge",https://www.boliga.dk/adresse/klinteloekken-15f-15-3770-allinge-907138124,Fritidshus med 1 værelse,-4%  695.000 kr.,1,27 m²,10.608 m²,,
"Bovvej 3, Geestrup,  6520 Toftlund",https://www.boliga.dk/adresse/bovvej-3-6520-toftlund-611197685,Villa med 5 værelser,-3%  1.250.000 kr.,5,220 m²,6.016 m²,55.163143,9.079973
"Gl Sorøvej 13, Rørby,  4400 Kalundborg",https://www.boliga.dk/adresse/gl-soroevej-13-4400-kalundborg-1012858853,Villa med 3 værelser,-4%  1.325.000 kr.,3,124 m²,2.736 m²,55.64654,11.162092
"Nørretoften 2B,  8450 Hammel",https://www.boliga.dk/adresse/noerretoften-2b-8450-hammel-49441368,Landejendom med 6 værelser,-8%  1.375.000 kr.,6,178 m²,20.247 m²,56.302963,9.869165
"Malmkærvej 6, Dyringhave,  7361 Ejstrupholm",https://www.boliga.dk/adresse/malmkaervej-6-7361-ejstrupholm-1524840593,Villa med 3 værelser,-7%  1.395.000 kr.,3,155 m²,10.563 m²,,
"Oksebrovej 3, Skovsø,  4200 Slagelse",https://www.boliga.dk/adresse/oksebrovej-3-4200-slagelse-1535360937,Villa med 3 værelser,-6%  1.595.000 kr.,3,90 m²,1.900 m²,55.418643,11.411565
"Lindebjerg 43,  5560 Aarup",https://www.boliga.dk/adresse/lindebjerg-43-5560-aarup-1726973383,Villa med 5 værelser,1.795.000 kr.,5,140 m²,2.363 m²,55.379581,10.023012
"Lodne Bjerge 16B, Sønderho,  6720 Fanø",https://www.boliga.dk/adresse/lodne-bjerge-16b-6720-fanoe-602698376,Fritidshus med 4 værelser,1.798.000 kr.,4,60 m²,2.254 m²,55.345302,8.457601
"Fenstenvej 27, Fensten,  8300 Odder",https://www.boliga.dk/adresse/fenstenvej-27-8300-odder-609762595,Landejendom med 7 værelser,1.995.000 kr.,7,175 m²,6.000 m²,55.903247,10.18614
"Strømhuse 2,  7870 Roslev",https://www.boliga.dk/adresse/stroemhuse-2-7870-roslev-818387901,Landejendom med 8 værelser,-2%  2.780.000 kr.,8,145 m²,18.305 m²,56.753311,8.87522
"Strandvejen 128, Rørth,  8300 Odder",https://www.boliga.dk/adresse/strandvejen-128-8300-odder-809049881,Villa med 5 værelser,3.195.000 kr.,5,174 m²,2.038 m²,,
"Jernbanevej 12,  4470 Svebølle",https://www.boliga.dk/adresse/jernbanevej-12-4470-sveboelle-360040209,Villa med 12 værelser,3.795.000 kr.,12,574 m²,1.626 m²,55.651776,11.29093
"Eshøjvej 26, Lading,  8471 Sabro",https://www.boliga.dk/adresse/eshoejvej-26-8471-sabro-1459467476,Villa med 9 værelser,4.348.000 kr.,9,248 m²,16.763 m²,,
"Aldershvilevej 2, V Helsinge,  4281 Gørlev",https://www.boliga.dk/adresse/aldershvilevej-2-4281-goerlev-845319628,Landejendom med 8 værelser,-5%  4.750.000 kr.,8,318 m²,33.700 m²,,
"Storskovvej 7, Krømlinge,  4700 Næstved",https://www.boliga.dk/adresse/storskovvej-7-4700-naestved-1243311499,Landejendom med 6 værelser,4.995.000 kr.,6,236 m²,161.100 m²,,
"Grævlingevænget 4,  5466 Asperup",https://www.boliga.dk/adresse/graevlingevaenget-4-5466-asperup-1222461908,Fritidshus med 4 værelser,-8%  5.500.000 kr.,4,148 m²,5.700 m²,55.508347,9.926951
"Vandmøllevej 17,  8920 Randers NV",https://www.boliga.dk/adresse/vandmoellevej-17-8920-randers-nv-1505141807,Landejendom med 6 værelser,5.795.000 kr.,6,290 m²,33.006 m²,56.442654,9.859058
"Ebbas Alle 12, Nødebo,  3480 Fredensborg",https://www.boliga.dk/adresse/ebbas-alle-12-3480-fredensborg-1866478315,Villa med 6 værelser,-18%  11.500.000 kr.,6,221 m²,1.576 m²,55.985406,12.349477
"Vejlesøvej 37A,  2840 Holte",https://www.boliga.dk/adresse/vejlesoevej-37a-2840-holte-1274534211,Villa med 8 værelser,-9%  14.995.000 kr.,8,262 m²,1.542 m²,55.804426,12.456538
"Topvej 47,  4500 Nykøbing Sj",https://www.boliga.dk/adresse/topvej-47-4500-nykoebing-sj-1955579326,Fritidshus med 6 værelser,17.950.000 kr.,6,169 m²,2.892 m²,55.938463,11.647125
"Dronninggårds Alle 104+6,  2840 Holte",https://www.boliga.dk/adresse/dronninggaards-alle-104--6-2840-holte-1552756700,Villa med 12 værelser,48.000.000 kr.,12,415 m²,3.689 m²,55.811622,12.4688094
"Tolshøj 23, Vesterbølle,  9631 Gedsted",https://www.boliga.dk/adresse/tolshoej-23-9631-gedsted-531959600,Villa med 5 værelser,525.000 kr.,5,126 m²,13.650 m²,56.713253,9.359962
"Løgsted Skalle 9,  9670 Løgstør",https://www.boliga.dk/adresse/loegsted-skalle-9-9670-loegstoer-1056081030,Villa med 2 værelser,-14%  595.000 kr.,2,100 m²,8.755 m²,56.9301,9.2469
"Armosevej 6,  7620 Lemvig",https://www.boliga.dk/adresse/armosevej-6-7620-lemvig-312423536,Villa med 5 værelser,-21%  645.000 kr.,5,248 m²,2.769 m²,56.544292,8.271466
"Krogsbøllevej 107, Krogsbølle,  5450 Otterup",https://www.boliga.dk/adresse/krogsboellevej-107-5450-otterup-319987017,Landejendom med 4 værelser,-8%  825.000 kr.,4,147 m²,7.032 m²,55.570462,10.368799
"Kolleshusvej 7, Kerte,  5560 Aarup",https://www.boliga.dk/adresse/kolleshusvej-7-5560-aarup-1804702263,Villa med 4 værelser,-6%  845.000 kr.,4,183 m²,7.163 m²,,
"Birthevej 16, Hvorup Klit,  9480 Løkken",https://www.boliga.dk/adresse/birthevej-16-9480-loekken-1117218695,Fritidshus med 3 værelser,925.000 kr.,3,35 m²,16.666 m²,57.352164,9.692035
"Brandsbyvej 34, Brandsby,  5450 Otterup",https://www.boliga.dk/adresse/brandsbyvej-34-5450-otterup-1264993159,Villa med 6 værelser,-9%  995.000 kr.,6,136 m²,3.964 m²,55.528783,10.364022
"Katsigvej 65, Skærum,  9900 Frederikshavn",https://www.boliga.dk/adresse/katsigvej-65-9900-frederikshavn-1885659406,Landejendom med 4 værelser,995.000 kr.,4,147 m²,17.827 m²,57.446225,10.33936
"Østersøvej 12,  4872 Idestrup",https://www.boliga.dk/adresse/oestersoevej-12-4872-idestrup-1571183039,Villa med 4 værelser,995.000 kr.,4,119 m²,1.553 m²,54.742139,11.983216
"Hjortholmvej 64, Fløe,  9530 Støvring",https://www.boliga.dk/adresse/hjortholmvej-64-9530-stoevring-1438455082,Villa med 3 værelser,-7%  1.395.000 kr.,3,130 m²,7.000 m²,,
"Hovedvejen 125, Stenbergholt,  8963 Auning",https://www.boliga.dk/adresse/hovedvejen-125-8963-auning-1002203481,Villa med 7 værelser,1.595.000 kr.,7,212 m²,2.790 m²,,
"Gl. Nyborgvej 38,  5772 Kværndrup",https://www.boliga.dk/adresse/gl-nyborgvej-38-5772-kvaerndrup-1269081725,Landejendom med 8 værelser,1.995.000 kr.,8,214 m²,20.010 m²,55.186577,10.537014
"Vandvaerksbakken 23,  4780 Stege",https://www.boliga.dk/adresse/vandvaerksbakken-23-4780-stege-809840541,Villa med 7 værelser,-4%  2.295.000 kr.,7,230 m²,1.588 m²,54.994745,12.309696
"Ternevej 5,  4773 Stensved",https://www.boliga.dk/adresse/ternevej-5-4773-stensved-1435511949,Villa med 8 værelser,2.300.000 kr.,8,142 m²,1.592 m²,54.997942,12.025867
"Mødalvej 5A,  8471 Sabro",https://www.boliga.dk/adresse/moedalvej-5a-8471-sabro-513690315?e=2157663,Villa med 3 værelser,2.495.000 kr.,3,146 m²,2.768 m²,56.229827,10.01334
"Holmevej Tranderup 6,  5970 Ærøskøbing",https://www.boliga.dk/adresse/holmevej-tranderup-6-5970-aeroeskoebing-2032241718,Landejendom med 3 værelser,2.495.000 kr.,3,82 m²,70.000 m²,54.871605,10.351557
"Pårupvej 20, Skellerup,  5540 Ullerslev",https://www.boliga.dk/adresse/paarupvej-20-5540-ullerslev-585114781,Landejendom med 5 værelser,2.500.000 kr.,5,135 m²,70.000 m²,55.334808,10.650489
"Bjergehusvej 20,  7673 Harboøre",https://www.boliga.dk/adresse/bjergehusvej-20-7673-harbooere-1398960048,Fritidshus med 3 værelser,2.695.000 kr.,3,89 m²,1.527 m²,56.569021,8.145352
"Sennepsmarken 8, Bratten,  9970 Strandby",https://www.boliga.dk/adresse/sennepsmarken-8-9970-strandby-978273507,Fritidshus med 5 værelser,2.745.000 kr.,5,160 m²,1.767 m²,57.504524,10.477824
"Skindersøvej 44,  3140 Ålsgårde",https://www.boliga.dk/adresse/skindersoevej-44-3140-aalsgaarde-1392935866,Fritidshus med 3 værelser,3.495.000 kr.,3,30 m²,36.211 m²,56.063115,12.521741
"Solsbækvej 102,  9300 Sæby",https://www.boliga.dk/adresse/solsbaekvej-102-9300-saeby-236266194,Villa med 6 værelser,3.595.000 kr.,6,208 m²,1.991 m²,57.321135,10.52515
