Målgruppe,Kommune,Alder,2018,2019,2020,2021,2022,,
Børn og unge med autisme,Herlev,Alder i alt,122,137,142,150,171,,
Børn og unge med autisme,Herlev,0-5 år,8,9,8,8,10,,
Børn og unge med autisme,Herlev,6-11 år,42,52,49,51,61,,
Børn og unge med autisme,Herlev,12-17 år,72,76,85,91,100,,
Børn og unge med autisme,Herning,Alder i alt,330,351,377,377,389,,
Børn og unge med autisme,Herning,0-5 år,23,25,21,24,20,,
Børn og unge med autisme,Herning,6-11 år,116,120,139,133,134,,
Børn og unge med autisme,Herning,12-17 år,191,206,217,220,235,,
Børn og unge med autisme,Hillerød,Alder i alt,232,247,253,262,304,,
Børn og unge med autisme,Hillerød,0-5 år,18,13,14,17,15,,
Børn og unge med autisme,Hillerød,6-11 år,57,71,82,76,81,,
Børn og unge med autisme,Hillerød,12-17 år,157,163,157,169,208,,
Børn og unge med autisme,Hjørring,Alder i alt,122,142,150,167,192,,
Børn og unge med autisme,Hjørring,0-5 år,*,*,*,*,*,,
Børn og unge med autisme,Hjørring,6-11 år,*,*,*,*,*,,
Børn og unge med autisme,Hjørring,12-17 år,87,103,113,122,133,,
Børn og unge med autisme,Holbæk,Alder i alt,381,431,498,544,517,,
Børn og unge med autisme,Holbæk,0-5 år,19,20,25,27,17,,
Børn og unge med autisme,Holbæk,6-11 år,124,155,162,181,160,,
Børn og unge med autisme,Holbæk,12-17 år,238,256,311,336,340,,
Børn og unge med autisme,Holstebro,Alder i alt,227,264,297,306,306,,
Børn og unge med autisme,Holstebro,0-5 år,29,32,29,19,13,,
Børn og unge med autisme,Holstebro,6-11 år,76,91,103,111,117,,
Børn og unge med autisme,Holstebro,12-17 år,122,141,165,176,176,,
Børn og unge med autisme,Horsens,Alder i alt,269,296,327,354,376,,
Børn og unge med autisme,Horsens,0-5 år,18,20,21,20,18,,
Børn og unge med autisme,Horsens,6-11 år,89,102,110,118,118,,
Børn og unge med autisme,Horsens,12-17 år,162,174,196,216,240,,
Børn og unge med autisme,Hvidovre,Alder i alt,248,270,268,270,293,,
Børn og unge med autisme,Hvidovre,0-5 år,16,16,23,14,14,,
Børn og unge med autisme,Hvidovre,6-11 år,91,103,94,94,96,,
Børn og unge med autisme,Hvidovre,12-17 år,141,151,151,162,183,,
Børn og unge med autisme,Høje-Taastrup,Alder i alt,190,216,223,247,272,,
Børn og unge med autisme,Høje-Taastrup,0-5 år,11,14,12,21,28,,
Børn og unge med autisme,Høje-Taastrup,6-11 år,58,67,77,89,78,,
Børn og unge med autisme,Høje-Taastrup,12-17 år,121,135,134,137,166,,
Børn og unge med autisme,Hørsholm,Alder i alt,95,110,117,117,124,,
Børn og unge med autisme,Hørsholm,0-5 år,7,7,5,5,10,,
Børn og unge med autisme,Hørsholm,6-11 år,26,30,32,36,32,,
Børn og unge med autisme,Hørsholm,12-17 år,62,73,80,76,82,,
