Adresse,City,Link,Type,Størrelse,Pris,Pris_m2,latitude,longitude,kommune
Ndr. Fabriksvej - 9000 m² 17,8722 Hedensted,https://www.ejendomstorvet.dk/koeb//grunde/2d8500b9-04e7-40c9-87b1-9ce7538ec93f,"Grunde, salg",9.000 m²,1.995.000 kr.,221 kr./m²,,,
Nørre Alle 49,7760 Hurup Thy,https://www.ejendomstorvet.dk/koeb/nordjylland/thisted/lager-produktion/8aaccf4f-5190-4c33-bab6-35c86066d0bb,"Lager & produktion, salg",894 m²,2.600.000 kr.,2.908 kr./m²,55.542451,9.77195,Middelfart Kommune
Værkstedvej 16,2500 Valby,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/lager-produktion/c20993bb-258d-4182-89f2-3014044adba3,"Lager & produktion, salg",125 m²,3.000.000 kr.,24.000 kr./m²,55.652461,12.505705,Københavns Kommune
Frodesgade 54,6700 Esbjerg,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/andre-typer/5ebfac58-632b-487a-86c6-55d31a926594,"Andre typer, salg",164 m²,7.995.000 kr.,48.750 kr./m²,55.47198,8.452314,Esbjerg Kommune
Nørregade 28,7500 Holstebro,https://www.ejendomstorvet.dk/koeb/vestjylland/holstebro/detailhandel-butik/1864937a-bea3-41d9-93df-728765d9d29e,"Detailhandel & butik, salg",436 m²,2.275.000 kr.,5.217 kr./m²,55.681577,12.571263,Københavns Kommune
Gl Skolevej 29,6731 Tjæreborg,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/andre-typer/45478489-a007-4c71-a8c0-2c68d754932a,"Andre typer, salg",643 m²,750.000 kr.,1.166 kr./m²,55.53027,10.305031,Nordfyns Kommune
Elmelundsvej 14,5200 Odense V,https://www.ejendomstorvet.dk/koeb/fyn/odense/grunde/8b5adbbb-d7f5-4cdf-ac68-6f5d459f8f35,"Grunde, salg",7.750 m²,11.500.000 kr.,6.071 kr./m²,55.388437,10.328466,Odense Kommune
Skærskovgårdsvej 8,8600 Silkeborg,https://www.ejendomstorvet.dk/koeb/oestjylland/silkeborg/grunde/78bbedec-d056-4eba-964b-3b1f51c25679,"Grunde, salg",10.981 m²,2.995.000 kr.,0 kr./m²,56.146073,9.449748,Silkeborg Kommune
erhvervsparken 4,8920 Randers NV,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/lager-produktion/2a7ae616-6387-4f92-811c-3d7876713f25,"Lager & produktion, salg",2.791 m²,11.500.000 kr.,4.120 kr./m²,55.57435,12.103487,Roskilde Kommune
Kobbelvej 49,4780 Stege,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/vordingborg/lager-produktion/5b2dadf1-0fb8-41bd-abcd-15695491d51f,"Lager & produktion, salg",329 m²,2.495.000 kr.,7.583 kr./m²,54.998451,12.288796,Vordingborg Kommune
Mosevej 20,6760 Ribe,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/detailhandel-butik/40892562-2cfe-411f-9791-bc71b0aaa11f,"Detailhandel & butik, salg",922 m²,5.000.000 kr.,5.422 kr./m²,55.7279,12.517138,Gladsaxe Kommune
Kempesteens Vej 70,6330 Padborg,https://www.ejendomstorvet.dk/koeb/sydjylland/aabenraa/andre-typer/1e342d85-664c-4e61-9c18-45d51d393e11,"Andre typer, salg",492 m²,1.500.000 kr.,3.048 kr./m²,54.842519,9.361436,Aabenraa Kommune
"Skt. Clemens Torv 17, st",8000 Aarhus C,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/detailhandel-butik/60b43581-52d2-418b-98ed-4bc7d6ccaa3a,"Detailhandel & butik, salg",64 m²,3.200.000 kr.,50.000 kr./m²,,,
Bakkegårdsvej 111,3050 Humlebæk,https://www.ejendomstorvet.dk/koeb/nordsjaelland/fredensborg/lager-produktion/c969c4e7-cea2-4e66-a450-009bbfad49d4,"Lager & produktion, salg",971 m²,7.485.000 kr.,7.708 kr./m²,55.640663,9.698069,Vejle Kommune
Amager Strandvej 110A ST,2300 København S,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/hotel-restaurant/8866558d-9076-4750-a556-40b4d143a72c,"Hotel & restaurant, salg",190 m²,8.500.000 kr.,44.736 kr./m²,,,
Sletten 4,8543 Hornslet,https://www.ejendomstorvet.dk/koeb/oestjylland/syddjurs/grunde/eea4814a-b058-48d8-8042-ebea73ce741b,"Grunde, salg",3.642 m²,1.395.000 kr.,0 kr./m²,55.516242,10.406875,Nordfyns Kommune
"Sankt Jørgens Allé 6, kl",1615 København V,https://www.ejendomstorvet.dk/koeb/byen-koebenhavn/koebenhavn/lager-produktion/1229cc92-cb48-438e-b2fb-960bb4b21046,"Lager & produktion, salg",73 m²,750.000 kr.,10.273 kr./m²,,,
Storskovvej 99,9330 Dronninglund,https://www.ejendomstorvet.dk/koeb/nordjylland/broenderslev/lager-produktion/a1916bd2-8e08-4a8b-aabe-d6167fd20a02,"Lager & produktion, salg",1.700 m²,1.520.000 kr.,894 kr./m²,57.250717,10.296927,Brønderslev Kommune
Vestergade / Torvegade 13,7280 Sønder Felding,https://www.ejendomstorvet.dk/koeb//lager-produktion/d5bcdc27-026c-48b3-9f23-3fa2a2396822,"Lager & produktion, salg",664 m²,1.950.000 kr.,2.936 kr./m²,,,
Viborgvej 273B,7840 Højslev,https://www.ejendomstorvet.dk/koeb/vestjylland/skive/andre-typer/526d7454-81df-469e-9e53-a8df71385d52,"Andre typer, salg",537 m²,2.350.000 kr.,4.376 kr./m²,56.545289,9.125046,Skive Kommune
Rådhusvej 10,2920 Charlottenlund,https://www.ejendomstorvet.dk/koeb/koebenhavns-omegn/gentofte/detailhandel-butik/cc963368-0bc8-4ae8-9837-0b6d715c0488,"Detailhandel & butik, salg",252 m²,1.275.000 kr.,5.059 kr./m²,55.752357,12.571566,Gentofte Kommune
Strandvejen 12,6720 Fanø,https://www.ejendomstorvet.dk/koeb/sydjylland/fanoe/hotel-restaurant/a22a00d1-1936-47e8-8042-c5621cc69110,"Hotel & restaurant, salg",1.231 m²,9.300.000 kr.,7.554 kr./m²,55.717579,12.577534,Københavns Kommune
Barrit Langgade 102B,7150 Barrit,https://www.ejendomstorvet.dk/koeb/oestjylland/hedensted/lager-produktion/5bde23ea-4fbb-4ab7-8233-a84915502db1,"Lager & produktion, salg",3.499 m²,5.225.000 kr.,1.493 kr./m²,55.711411,9.891731,Hedensted Kommune
Gudumvej 63,9260 Gistrup,https://www.ejendomstorvet.dk/koeb/nordjylland/aalborg/andre-typer/94d8f5f8-4969-4d62-aeb0-1bff83012fcf,"Andre typer, salg",900 m²,3.495.000 kr.,3.883 kr./m²,56.936997,10.057552,Aalborg Kommune
Arnbjerg Alle (storparcel) 0,8800 Viborg,https://www.ejendomstorvet.dk/koeb//grunde/4c9c3848-4240-4652-8271-966a40511be6,"Grunde, salg",19.333 m²,19.800.000 kr.,1.024 kr./m²,,,
Petersmindevej 14,5000 Odense C,https://www.ejendomstorvet.dk/koeb/fyn/odense/lager-produktion/a380ba0b-6e76-4bc9-bb14-0d3fa1a4d7ed,"Lager & produktion, salg",843 m²,5.500.000 kr.,6.524 kr./m²,55.402733,10.415174,Odense Kommune
Aastrupvej 63,4850 Stubbekøbing,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/guldborgsund/andre-typer/ac8f4c3e-5128-48f0-8db6-32876f2bdf5e,"Andre typer, salg",1.454 m²,3.495.000 kr.,2.403 kr./m²,54.862696,12.088254,Guldborgsund Kommune
Brundtland Allé 3,6520 Toftlund,https://www.ejendomstorvet.dk/koeb/sydjylland/toender/andre-typer/83b53881-f6cb-44af-8a87-f6f713ca463c,"Andre typer, salg",1.819 m²,54.000.000 kr.,29.686 kr./m²,55.193995,9.075872,Tønder Kommune
Rødvigvej 34,4673 Rødvig Stevns,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/stevns/grunde/9ff30136-8951-40cd-ba34-9bcc63012c8e,"Grunde, salg",2.855 m²,1.800.000 kr.,0 kr./m²,55.274422,12.389771,Stevns Kommune
Stenbukken 15,9200 Aalborg SV,https://www.ejendomstorvet.dk/koeb/nordjylland/aalborg/detailhandel-butik/043f5cda-b087-49a0-87f0-e2b38ddad10e,"Detailhandel & butik, salg",1.129 m²,20.500.000 kr.,18.157 kr./m²,56.997648,9.870379,Aalborg Kommune
CO-RO's Vej 1,3600 Frederikssund,https://www.ejendomstorvet.dk/koeb/nordsjaelland/frederikssund/lager-produktion/b1a09359-44ea-418c-99d7-befebdb98d1b,"Lager & produktion, salg",12.521 m²,53.000.000 kr.,4.232 kr./m²,55.849563,12.073511,Frederikssund Kommune
Islandsvej 23D,8700 Horsens,https://www.ejendomstorvet.dk/koeb/oestjylland/horsens/lager-produktion/289ce554-3466-42fd-a16c-36755b4f35e4,"Lager & produktion, salg",723 m²,3.695.000 kr.,5.110 kr./m²,55.859699,9.810384,Horsens Kommune
Østergade 28,4970 Rødby,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/lolland/hotel-restaurant/4e0524e5-346b-47e1-a6f8-d3ac18567ec6,"Hotel & restaurant, salg",163 m²,695.000 kr.,4.263 kr./m²,56.153866,10.207313,Aarhus Kommune
Gammel Østergade 3A,9400 Nørresundby,https://www.ejendomstorvet.dk/koeb/nordjylland/aalborg/detailhandel-butik/f866f5e7-ff46-4aae-b510-defd81015c04,"Detailhandel & butik, salg",121 m²,995.000 kr.,8.223 kr./m²,57.058759,9.923637,Aalborg Kommune
Ådalsvej 12,8870 Langå,https://www.ejendomstorvet.dk/koeb/oestjylland/favrskov/lager-produktion/b2f2e815-49d4-4496-a449-bca00f01a2ef,"Lager & produktion, salg",962 m²,1.500.000 kr.,1.559 kr./m²,55.690033,12.501744,Københavns Kommune
Sverigesvej 5,6600 Vejen,https://www.ejendomstorvet.dk/koeb/sydjylland/vejen/lager-produktion/61e372c0-5edf-44a2-a62e-3e3b2f21c576,"Lager & produktion, salg",4.074 m²,18.950.000 kr.,4.651 kr./m²,56.138049,8.954312,Herning Kommune
Emil Aarestrups Gade 28,4990 Sakskøbing,https://www.ejendomstorvet.dk/koeb/vest-og-sydsjaelland/guldborgsund/lager-produktion/8e226f89-10ca-4416-9735-6541b1cff3bb,"Lager & produktion, salg",377 m²,895.000 kr.,2.374 kr./m²,54.800883,11.630717,Guldborgsund Kommune
Navervej 22-24,7451 Sunds,https://www.ejendomstorvet.dk/koeb/vestjylland/herning/lager-produktion/acd603ed-b37d-46d3-a39b-92c1bd9dc0e7,"Lager & produktion, salg",2.233 m²,5.400.000 kr.,2.418 kr./m²,55.6392111,12.1208332,Roskilde Kommune
Stenhuggervej 13,6710 Esbjerg V,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/lager-produktion/bce1baa4-2971-4fc2-8548-6ea1be65c07f,"Lager & produktion, salg",2.483 m²,8.795.000 kr.,3.542 kr./m²,55.509074,8.413365,Esbjerg Kommune
Valmuevej 15,9740 Jerslev J,https://www.ejendomstorvet.dk/koeb/nordjylland/broenderslev/lager-produktion/de7cc577-da63-485b-97f9-637550962586,"Lager & produktion, salg",1.511 m²,1.195.000 kr.,790 kr./m²,55.649048,12.60998,Københavns Kommune
Mirabellevej 6-8,8930 Randers NØ,https://www.ejendomstorvet.dk/koeb/oestjylland/randers/lager-produktion/c0d265e0-710f-4a2f-b165-47d7ff4c490a,"Lager & produktion, salg",1.568 m²,5.000.000 kr.,3.188 kr./m²,55.6939407,12.5170354,Københavns Kommune
Sydmarksvej 13/19,5466 Asperup,https://www.ejendomstorvet.dk/koeb/fyn/middelfart/grunde/0cf5488b-867c-44a8-a548-cadad7142945,"Grunde, salg",9.753 m²,1.200.000 kr.,0 kr./m²,55.2897336,10.21087,Assens Kommune
Kvie Søvej 4,6823 Ansager,https://www.ejendomstorvet.dk/koeb/sydjylland/varde/hotel-restaurant/f2d5a56a-3461-4002-b819-a1871953a2c9,"Hotel & restaurant, salg",771 m²,10.499.000 kr.,13.617 kr./m²,55.728442,8.770676,Varde Kommune
Ørstedsvej 36,6760 Ribe,https://www.ejendomstorvet.dk/koeb/sydjylland/esbjerg/lager-produktion/8707e361-77b2-497a-aa4e-537e1c038570,"Lager & produktion, salg",1.643 m²,2.500.000 kr.,1.521 kr./m²,55.354083,8.771829,Esbjerg Kommune
Herningvej 39,8600 Silkeborg,https://www.ejendomstorvet.dk/koeb/oestjylland/silkeborg/grunde/596ee36a-245f-4124-8c69-0b8eca997326,"Grunde, salg",4.048 m²,6.500.000 kr.,20.700 kr./m²,57.026464,9.984731,Aalborg Kommune
Elmegårdsvej 10,8361 Hasselager,https://www.ejendomstorvet.dk/koeb/oestjylland/aarhus/lager-produktion/0d016a54-5724-46f2-8286-d3d1cf1cf89b,"Lager & produktion, salg",914 m²,4.300.000 kr.,4.704 kr./m²,56.111255,10.108864,Aarhus Kommune
Aftensang 20B,6040 Egtved,https://www.ejendomstorvet.dk/koeb/sydjylland/vejle/detailhandel-butik/449416aa-4290-4a95-8321-db20901fe986,"Detailhandel & butik, salg",242 m²,1.295.000 kr.,5.351 kr./m²,55.619716,9.303856,Vejle Kommune
Byggebjerg 4,6534 Agerskov,https://www.ejendomstorvet.dk/koeb/sydjylland/toender/andre-typer/5916e999-10ff-4172-a21f-c0e115641c03,"Andre typer, salg",1.088 m²,795.000 kr.,730 kr./m²,55.13524,9.124119,Tønder Kommune
Kærvej 81,6400 Sønderborg,https://www.ejendomstorvet.dk/koeb/sydjylland/soenderborg/lager-produktion/f41e884a-ed6c-42e8-8012-b442b839be6a,"Lager & produktion, salg",1.277 m²,6.000.000 kr.,4.698 kr./m²,54.927541,9.793836,Sønderborg Kommune
Gadstrup 9,5580 Nørre Aaby,https://www.ejendomstorvet.dk/koeb/fyn/middelfart/lager-produktion/9e5647cf-e14e-42d7-bcbd-c948cdd872db,"Lager & produktion, salg",2.547 m²,2.000.000 kr.,785 kr./m²,55.436588,9.880868,Middelfart Kommune
Smedevænget 15,5550 Langeskov,https://www.ejendomstorvet.dk/koeb/fyn/kerteminde/grunde/1ea34900-e2f7-43ab-af72-75573cc7b825,"Grunde, salg",15.131 m²,6.750.000 kr.,0 kr./m²,55.284325,10.371922,Faaborg-Midtfyn Kommune
Storegade 45,6430 Nordborg,https://www.ejendomstorvet.dk/koeb/sydjylland/soenderborg/andre-typer/9a873489-a840-4f1c-98a8-a096276d3f5f,"Andre typer, salg",368 m²,795.000 kr.,2.160 kr./m²,56.717776,10.115119,Mariagerfjord Kommune
