Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude,kommune
"Landevejen 61, Jordløse,  5683 Haarby",https://www.boliga.dk/adresse/landevejen-61-5683-haarby-1881306052,Villa med 5 værelser,1.195.000 kr.,5,120 m²,4.242 m²,55.196003,10.156627,Assens Kommune
"Krogvejen 15, Arnborg,  7400 Herning",https://www.boliga.dk/adresse/krogvejen-15-7400-herning-1967740189,Villa med 4 værelser,1.595.000 kr.,4,136 m²,1.890 m²,56.016936,8.993051,Herning Kommune
"Koelbjergvænget 2,  5492 Vissenbjerg",https://www.boliga.dk/adresse/koelbjergvaenget-2-5492-vissenbjerg-98093227,Villa med 4 værelser,1.595.000 kr.,4,130 m²,4.700 m²,55.391565,10.116848,Assens Kommune
"Savavej 34,  4873 Væggerløse",https://www.boliga.dk/adresse/savavej-34-4873-vaeggerloese-483006110,Fritidshus med 5 værelser,-5%  1.795.000 kr.,5,95 m²,Ejerudgift: 1.542 kr. / md.,54.667287,11.937199,Guldborgsund Kommune
"Hovedvejen 27,  8586 Ørum Djurs",https://www.boliga.dk/adresse/hovedvejen-27-8586-oerum-djurs-1972222234,Landejendom med 6 værelser,-10%  1.795.000 kr.,6,200 m²,22.601 m²,56.440661,10.714351,Norddjurs Kommune
"Sønderskovvej 46, Halling,  8543 Hornslet",https://www.boliga.dk/adresse/soenderskovvej-46-8543-hornslet-373319901,Villa med 4 værelser,1.895.000 kr.,4,124 m²,5.940 m²,56.326498,10.183674,Syddjurs Kommune
"Semvej 4,  9550 Mariager",https://www.boliga.dk/adresse/semvej-4-9550-mariager-229817230,Villa med 5 værelser,-7%  2.195.000 kr.,5,183 m²,3.725 m²,56.624513,10.068586,Mariagerfjord Kommune
"Storhedevejen 17, Mammen,  8850 Bjerringbro",https://www.boliga.dk/adresse/storhedevejen-17-8850-bjerringbro-7202778?e=2152354,Villa med 8 værelser,-8%  2.395.000 kr.,8,275 m²,11.650 m²,56.40705,9.635255,Viborg Kommune
"Troldkærvej 30,  9240 Nibe",https://www.boliga.dk/adresse/troldkaervej-30-9240-nibe-2143561083,Villa med 9 værelser,-4%  2.695.000 kr.,9,304 m²,3.034 m²,57.006244,9.73655,Aalborg Kommune
"Paradisvej 52, Rindby Strand,  6720 Fanø",https://www.boliga.dk/adresse/paradisvej-52-6720-fanoe-673457483,Fritidshus med 5 værelser,2.798.000 kr.,5,118 m²,Ejerudgift: 2.994 kr. / md.,55.4096547,8.3967511,Fanø Kommune
"Lunderødvej 64, Lunderød,  4340 Tølløse",https://www.boliga.dk/adresse/lunderoedvej-64-4340-toelloese-2038585420,Landejendom med 6 værelser,3.995.000 kr.,6,169 m²,20.000 m²,55.63332,11.7763,Holbæk Kommune
"Landevejen 101,  5642 Millinge",https://www.boliga.dk/adresse/landevejen-101-5642-millinge-144674996,Villa med 8 værelser,Pris er steget  23%  3.995.000 kr.,8,284 m²,4.211 m²,55.161834,10.139787,Assens Kommune
"Møllevej 7, Langskov,  8370 Hadsten",https://www.boliga.dk/adresse/moellevej-7-8370-hadsten-1044288424,Landejendom med 5 værelser,-5%  3.995.000 kr.,5,194 m²,40.247 m²,,,
"Haregabsvej 14A, Esbønderup Skovhuse,  3230 Græsted",https://www.boliga.dk/adresse/haregabsvej-14a-3230-graested-1779286227,Villa med 4 værelser,4.495.000 kr.,4,148 m²,2.135 m²,56.038179,12.350464,Gribskov Kommune
"Lyngvejen 9, Buske,  4160 Herlufmagle",https://www.boliga.dk/adresse/lyngvejen-9-4160-herlufmagle-863330056,Landejendom med 11 værelser,6.450.000 kr.,11,361 m²,143.716 m²,,,
"Kærhøjgårdsvej 40,  3540 Lynge",https://www.boliga.dk/adresse/kaerhoejgaardsvej-40-3540-lynge-1196481866,Landejendom med 7 værelser,-5%  89.800.000 kr.,7,287 m²,92.128 m²,55.839419,12.294604,Allerød Kommune
"Sall Hedevej 116,  8450 Hammel",https://www.boliga.dk/adresse/sall-hedevej-116-8450-hammel-1077748655,Villa med 3 værelser,-8%  1.095.000 kr.,3,98 m²,2.338 m²,56.287777,9.82775,Favrskov Kommune
"Øksedalvej 13, Barmer,  9240 Nibe",https://www.boliga.dk/adresse/oeksedalvej-13-9240-nibe-1272797135,Villa med 5 værelser,1.690.000 kr.,5,205 m²,7.451 m²,,,
"Østermarksvej 5, Refsvindinge,  5853 Ørbæk",https://www.boliga.dk/adresse/oestermarksvej-5-5853-oerbaek-1306361327,Villa med 5 værelser,-6%  1.695.000 kr.,5,189 m²,12.920 m²,55.291145,10.693794,Nyborg Kommune
"Nellemosevej 54, Skovkrogen,  5683 Haarby",https://www.boliga.dk/adresse/nellemosevej-54-5683-haarby-456410872,Landejendom med 8 værelser,-10%  1.795.000 kr.,8,230 m²,30.308 m²,,,
"Kærsangervej 28, Ans By,  8643 Ans By",https://www.boliga.dk/adresse/kaersangervej-28-8643-ans-by-2023855793,Villa med 4 værelser,1.795.000 kr.,4,143 m²,1.660 m²,56.304963,9.578299,Silkeborg Kommune
"Kronvildtvej 9, Krogen,  9460 Brovst",https://www.boliga.dk/adresse/kronvildtvej-9-9460-brovst-1353610897?e=2152014,Fritidshus med 4 værelser,1.995.000 kr.,4,121 m²,Ejerudgift: 1.653 kr. / md.,57.150659,9.470471,Jammerbugt Kommune
"Kraggårdsvej 19, Åstrup-Tvede,  8930 Randers NØ",https://www.boliga.dk/adresse/kraggaardsvej-19-8930-randers-noe-603892355,Landejendom med 8 værelser,2.495.000 kr.,8,238 m²,27.500 m²,,,
"Søstremosevej 9,  4400 Kalundborg",https://www.boliga.dk/adresse/soestremosevej-9-4400-kalundborg-912603887,Villa med 5 værelser,2.495.000 kr.,5,172 m²,9.775 m²,55.638164,11.114839,Kalundborg Kommune
"Kringelhedevej 69, Præstbro,  9330 Dronninglund",https://www.boliga.dk/adresse/kringelhedevej-69-9330-dronninglund-540215424,Landejendom med 5 værelser,-4%  2.498.000 kr.,5,203 m²,42.663 m²,57.232559,10.394734,Frederikshavn Kommune
"Ny Østerbyvej 3,  6580 Vamdrup",https://www.boliga.dk/adresse/ny-oesterbyvej-3-6580-vamdrup-1029392829,Landejendom med 4 værelser,2.845.000 kr.,4,184 m²,23.856 m²,55.418223,9.30331,Kolding Kommune
"Valmuemarken 19A,  6771 Gredstedbro",https://www.boliga.dk/adresse/valmuemarken-19a-6771-gredstedbro-1288200273,Landejendom med 8 værelser,2.995.000 kr.,8,392 m²,24.180 m²,55.400423,8.733177,Esbjerg Kommune
"Kalundborgvej 43,  4591 Føllenslev",https://www.boliga.dk/adresse/kalundborgvej-43-4591-foellenslev-1010086982,Landejendom med 6 værelser,-3%  3.195.000 kr.,6,222 m²,52.404 m²,55.701975,11.349431,Kalundborg Kommune
"Sandtoftevej 45C,  6857 Blåvand",https://www.boliga.dk/adresse/sandtoftevej-45c-6857-blaavand-698904161,Fritidshus med 7 værelser,-5%  3.800.000 kr.,7,234 m²,Ejerudgift: 6.284 kr. / md.,55.559399,8.16512,Varde Kommune
"Strandvejen 43, Hvalpsund,  9640 Farsø",https://www.boliga.dk/adresse/strandvejen-43-9640-farsoe-309843814,Fritidshus med 1 værelse,-8%  1.195.000 kr.,1,24 m²,Ejerudgift: 1.833 kr. / md.,56.696127,9.185206,Vesthimmerlands Kommune
"Himmerigsvej 10,  9981 Jerup",https://www.boliga.dk/adresse/himmerigsvej-10-9981-jerup-1328539362,Villa med 4 værelser,-6%  4.250.000 kr.,4,296 m²,17.322 m²,57.543716,10.408026,Frederikshavn Kommune
"Møllekrogen 20, Næsbjerg,  6800 Varde",https://www.boliga.dk/adresse/moellekrogen-20-6800-varde-1254361326,Helårsgrund,445.000 kr.,1.543 m²,Ejerudgift: 784 kr. / md.,,55.627748,8.60105,Varde Kommune
"Stubbegårdsparken 98,  4900 Nakskov",https://www.boliga.dk/adresse/stubbegaardsparken-98-4900-nakskov-1908260533,Fritidshus med 4 værelser,795.000 kr.,4,65 m²,Ejerudgift: 1.585 kr. / md.,54.749924,11.060279,Lolland Kommune
"Strandvejen 66,  7673 Harboøre",https://www.boliga.dk/adresse/strandvejen-66-7673-harbooere-30813560,Villa med 7 værelser,-13%  950.000 kr.,7,133 m²,3.019 m²,56.602208,8.150153,Lemvig Kommune
"Fælledgårdsvej 15, Egeby,  5450 Otterup",https://www.boliga.dk/adresse/faelledgaardsvej-15-5450-otterup-1325145994,Villa med 6 værelser,-13%  1.295.000 kr.,6,145 m²,15.255 m²,55.601886,10.318568,Nordfyns Kommune
"Randersvej 63,  8920 Randers NV",https://www.boliga.dk/adresse/randersvej-63-8920-randers-nv-1303898133,Villa med 4 værelser,-7%  1.395.000 kr.,4,174 m²,2.419 m²,56.431452,9.912353,Randers Kommune
"Højagervej 2, Voldby Mark,  5500 Middelfart",https://www.boliga.dk/adresse/hoejagervej-2-5500-middelfart-1267798435,Villa med 6 værelser,-9%  1.545.000 kr.,6,250 m²,12.860 m²,,,
"Arnborgvej 14,  6933 Kibæk",https://www.boliga.dk/adresse/arnborgvej-14-6933-kibaek-2110183132,Landejendom med 5 værelser,2.095.000 kr.,5,196 m²,18.000 m²,56.007459,8.912712,Herning Kommune
"Skovvej 43,  5690 Tommerup",https://www.boliga.dk/adresse/skovvej-43-5690-tommerup-1199467316,Landejendom med 6 værelser,-12%  2.295.000 kr.,6,140 m²,87.881 m²,55.324277,10.139397,Assens Kommune
"Vardevej 12,  6740 Bramming",https://www.boliga.dk/adresse/vardevej-12-6740-bramming-1892428745,Villa med 4 værelser,-3%  2.898.000 kr.,4,220 m²,13.213 m²,55.471763,8.667827,Esbjerg Kommune
"Hedebyvej 3,  6900 Skjern",https://www.boliga.dk/adresse/hedebyvej-3-6900-skjern-1314045387,Villa med 12 værelser,-6%  2.995.000 kr.,12,326 m²,11.110 m²,55.93133,8.464457,Ringkøbing-Skjern Kommune
"Stråtaget 19,  9380 Vestbjerg",https://www.boliga.dk/adresse/straataget-19-9380-vestbjerg-1500595776,Villa med 5 værelser,5.500.000 kr.,5,182 m²,2.080 m²,57.134646,9.948148,Aalborg Kommune
"Østermøllevej 4,  8380 Trige",https://www.boliga.dk/adresse/oestermoellevej-4-8380-trige-2138127373,Landejendom med 6 værelser,-8%  5.895.000 kr.,6,199 m²,64.948 m²,56.241642,10.164032,Aarhus Kommune
"Skovlyvej 2,  8930 Randers NØ",https://www.boliga.dk/adresse/skovlyvej-2-8930-randers-noe-922266859,Villa med 10 værelser,-10%  8.995.000 kr.,10,493 m²,2.350 m²,56.469452,10.047374,Randers Kommune
"Stavreby Strandvej 4,  4720 Præstø",https://www.boliga.dk/adresse/stavreby-strandvej-4-4720-praestoe-1836766154,Landejendom med 10 værelser,14.500.000 kr.,10,285 m²,88.289 m²,55.084127,12.138133,Vordingborg Kommune
"Skovhavevej 60,  6091 Bjert",https://www.boliga.dk/adresse/skovhavevej-60-6091-bjert-1828368208,Landejendom med 7 værelser,18.995.000 kr.,7,208 m²,298.441 m²,55.488893,9.602161,Kolding Kommune
"Helsingevej 41, Smidstrup,  3250 Gilleleje",https://www.boliga.dk/adresse/helsingevej-41-3250-gilleleje-1401500651,Landejendom med 8 værelser,32.000.000 kr.,8,222 m²,606.506 m²,,,
"Hovsørvej 19, Hovsør,  7700 Thisted",https://www.boliga.dk/adresse/hovsoervej-19-7700-thisted-675074758,Villa med 3 værelser,-11%  750.000 kr.,3,181 m²,6.391 m²,56.995911,8.832701,Thisted Kommune
"Tøndervej 2D, Arnitlund,  6500 Vojens",https://www.boliga.dk/adresse/toendervej-2d-6500-vojens-1257413762,Villa med 4 værelser,-12%  750.000 kr.,4,110 m²,5.000 m²,55.197001,9.323997,Haderslev Kommune
"Rishøjvej 17,  8983 Gjerlev J",https://www.boliga.dk/adresse/rishoejvej-17-8983-gjerlev-j-1567650223,Villa med 5 værelser,-6%  799.000 kr.,5,179 m²,3.565 m²,56.605364,10.120596,Randers Kommune
"Abildåvej 7, Abildå,  6973 Ørnhøj",https://www.boliga.dk/adresse/abildaavej-7-6973-oernhoej-1129846453,Villa med 4 værelser,-11%  799.000 kr.,4,156 m²,2.998 m²,56.153403,8.616689,Herning Kommune
"Linå Vesterskovvej 9, Gl. Laven,  8600 Silkeborg",https://www.boliga.dk/adresse/linaa-vesterskovvej-9-8600-silkeborg-1141465115,Villa med 3 værelser,895.000 kr.,3,70 m²,Ejerudgift: 2.242 kr. / md.,56.13422,9.687234,Silkeborg Kommune
"Elsøvej 119, Elsø,  7900 Nykøbing M",https://www.boliga.dk/adresse/elsoevej-119-7900-nykoebing-m-1943448084,Villa med 6 værelser,1.495.000 kr.,6,167 m²,2.399 m²,56.802292,8.794775,Morsø Kommune
"Hedestien 41, Understed,  9900 Frederikshavn",https://www.boliga.dk/adresse/hedestien-41-9900-frederikshavn-274102358,Fritidshus med 4 værelser,1.645.000 kr.,4,80 m²,Ejerudgift: 1.047 kr. / md.,,,
"Ullemosevej 3, Damme,  4792 Askeby",https://www.boliga.dk/adresse/ullemosevej-3-4792-askeby-1724638187,Villa med 6 værelser,1.795.000 kr.,6,165 m²,15.008 m²,,,
"Dengsøvej 20, V Velling,  8860 Ulstrup",https://www.boliga.dk/adresse/dengsoevej-20-8860-ulstrup-1530944111?e=2151139,Landejendom med 5 værelser,-13%  1.985.000 kr.,5,396 m²,14.000 m²,,,
"Nittrupvej 14,  7860 Spøttrup",https://www.boliga.dk/adresse/nittrupvej-14-7860-spoettrup-832673112,Landejendom med 8 værelser,-4%  2.395.000 kr.,8,290 m²,20.001 m²,56.638598,8.920709,Skive Kommune
"Halkærvej 116,  9240 Nibe",https://www.boliga.dk/adresse/halkaervej-116-9240-nibe-814569782,Landejendom med 10 værelser,2.495.000 kr.,10,340 m²,10.085 m²,56.921071,9.504592,Vesthimmerlands Kommune
"Viborgvej 606,  9670 Løgstør",https://www.boliga.dk/adresse/viborgvej-606-9670-loegstoer-1707192504?e=2151085,Villa med 6 værelser,-16%  2.695.000 kr.,6,302 m²,13.864 m²,56.838944,9.21093,Vesthimmerlands Kommune
"Skovvej 46, Thorning,  8620 Kjellerup",https://www.boliga.dk/adresse/skovvej-46-8620-kjellerup-1621450955,Villa med 6 værelser,3.295.000 kr.,6,251 m²,2.217 m²,56.289658,9.334733,Silkeborg Kommune
"Højbjerg Huse 15,  8840 Rødkærsbro",https://www.boliga.dk/adresse/hoejbjerg-huse-15-8840-roedkaersbro-1635677304,Landejendom med 5 værelser,-8%  3.620.000 kr.,5,160 m²,72.601 m²,56.330872,9.552361,Viborg Kommune
"Mønsvej 126,  4760 Vordingborg",https://www.boliga.dk/adresse/moensvej-126-4760-vordingborg-1250282821,Villa med 8 værelser,-6%  3.745.000 kr.,8,251 m²,10.000 m²,54.995741,11.994336,Vordingborg Kommune
"Tokkerupvej 9,  4640 Faxe",https://www.boliga.dk/adresse/tokkerupvej-9-4640-faxe-608808953,Villa med 5 værelser,3.995.000 kr.,5,270 m²,8.497 m²,55.276429,12.144787,Faxe Kommune
"Fuglekærvej 52,  8361 Hasselager",https://www.boliga.dk/adresse/fuglekaervej-52-8361-hasselager-1126426204,Villa med 4 værelser,4.295.000 kr.,4,136 m²,11.053 m²,56.117602,10.090262,Aarhus Kommune
"Nordre Strandvej 88A,  3150 Hellebæk",https://www.boliga.dk/adresse/nordre-strandvej-88a-3150-hellebaek-1447874681,Villa med 14 værelser,17.995.000 kr.,14,316 m²,2.843 m²,56.063684,12.567328,Helsingør Kommune
"Fabjergvej 142,  7620 Lemvig",https://www.boliga.dk/adresse/fabjergvej-142-7620-lemvig-822116704,Villa med 10 værelser,350.000 kr.,10,317 m²,3.765 m²,56.524931,8.413699,Lemvig Kommune
"Krogen 1, Humlum,  7600 Struer",https://www.boliga.dk/adresse/krogen-1-7600-struer-247707189,Villa med 5 værelser,495.000 kr.,5,131 m²,1.836 m²,56.54,8.548117,Struer Kommune
"Frederikshavnsvej 777, Tolne,  9870 Sindal",https://www.boliga.dk/adresse/frederikshavnsvej-777-9870-sindal-2145246928,Villa med 2 værelser,-11%  795.000 kr.,2,153 m²,2.500 m²,,,
"Slettens Landevej 42, Vesterby,  5400 Bogense",https://www.boliga.dk/adresse/slettens-landevej-42-5400-bogense-1750085114,Villa med 6 værelser,-7%  1.095.000 kr.,6,166 m²,5.780 m²,,,
"Engelsvej 8, Kirke Søby,  5610 Assens",https://www.boliga.dk/adresse/engelsvej-8-5610-assens-971754948,Villa med 6 værelser,1.195.000 kr.,6,184 m²,1.690 m²,55.265031,10.024228,Assens Kommune
"Kongevej 334, Arnum,  6510 Gram",https://www.boliga.dk/adresse/kongevej-334-6510-gram-1322671532,Villa med 8 værelser,1.245.000 kr.,8,224 m²,2.555 m²,55.244762,8.967567,Haderslev Kommune
"Langhøjvej 8, Asp,  7600 Struer",https://www.boliga.dk/adresse/langhoejvej-8-7600-struer-95896614,Villa med 7 værelser,1.395.000 kr.,7,170 m²,1.984 m²,56.432281,8.514826,Struer Kommune
"Møllevangen 22,  6840 Oksbøl",https://www.boliga.dk/adresse/moellevangen-22-6840-oksboel-1987154398,Fritidshus med 6 værelser,-4%  1.398.000 kr.,6,107 m²,Ejerudgift: 2.055 kr. / md.,55.675779,8.32269,Varde Kommune
"Knivsbækvej 15, Viftrup,  6971 Spjald",https://www.boliga.dk/adresse/knivsbaekvej-15-6971-spjald-827860717,Villa med 10 værelser,-5%  1.799.000 kr.,10,324 m²,6.605 m²,,,
"Ferritslevvej 38, Såderup,  5540 Ullerslev",https://www.boliga.dk/adresse/ferritslevvej-38-5540-ullerslev-561767511,Villa med 7 værelser,-5%  1.895.000 kr.,7,250 m²,14.932 m²,,,
"Rubyvej 27,  7620 Lemvig",https://www.boliga.dk/adresse/rubyvej-27-7620-lemvig-559242429,Villa med 10 værelser,-12%  1.900.000 kr.,10,366 m²,3.037 m²,56.468451,8.129909,Lemvig Kommune
"Harkenvej 26,  9800 Hjørring",https://www.boliga.dk/adresse/harkenvej-26-9800-hjoerring-52683183,Villa med 6 værelser,-5%  1.995.000 kr.,6,212 m²,5.781 m²,57.402625,9.920618,Hjørring Kommune
"Langtvedvej 17,  5540 Ullerslev",https://www.boliga.dk/adresse/langtvedvej-17-5540-ullerslev-1832066991,Villa med 5 værelser,-5%  1.995.000 kr.,5,203 m²,11.910 m²,55.394928,10.688608,Nyborg Kommune
"Tre Høje 9,  5932 Humble",https://www.boliga.dk/adresse/tre-hoeje-9-5932-humble-1368195438,Villa med 4 værelser,-9%  2.085.000 kr.,4,159 m²,9.509 m²,54.792601,10.67223,Langeland Kommune
"Rugholm 4,  9970 Strandby",https://www.boliga.dk/adresse/rugholm-4-9970-strandby-707768843,Villa med 6 værelser,-12%  2.195.000 kr.,6,204 m²,8.406 m²,57.504693,10.480027,Frederikshavn Kommune
"Vroldvej 190,  8660 Skanderborg",https://www.boliga.dk/adresse/vroldvej-190-8660-skanderborg-1278043325,Villa med 4 værelser,-6%  2.245.000 kr.,4,120 m²,2.620 m²,56.025183,9.837903,Skanderborg Kommune
"Langtvedvej 25,  5540 Ullerslev",https://www.boliga.dk/adresse/langtvedvej-25-5540-ullerslev-2132997209,Landejendom med 6 værelser,2.495.000 kr.,6,168 m²,37.100 m²,55.401058,10.69489,Nyborg Kommune
"Bregnør Bygade 44, Bregnør,  5300 Kerteminde",https://www.boliga.dk/adresse/bregnoer-bygade-44-5300-kerteminde-736693652,Villa med 4 værelser,-8%  3.500.000 kr.,4,180 m²,50.000 m²,55.471486,10.594645,Kerteminde Kommune
"Engvangen 21,  8520 Lystrup",https://www.boliga.dk/adresse/engvangen-21-8520-lystrup-436880037,Villa med 4 værelser,4.098.000 kr.,4,104 m²,1.515 m²,56.227561,10.234103,Aarhus Kommune
"Slagelsevej 31, Skørpinge,  4200 Slagelse",https://www.boliga.dk/adresse/slagelsevej-31-4200-slagelse-940264193,Landejendom med 7 værelser,4.375.000 kr.,7,229 m²,60.680 m²,55.344687,11.380125,Slagelse Kommune
"Skovmøllevej 9,  5881 Skårup Fyn",https://www.boliga.dk/adresse/skovmoellevej-9-5881-skaarup-fyn-669163093,Landejendom med 9 værelser,4.395.000 kr.,9,191 m²,26.592 m²,55.082873,10.686222,Svendborg Kommune
"Vejruphuse 41,  5471 Søndersø",https://www.boliga.dk/adresse/vejruphuse-41-5471-soendersoe-357604504?e=2150512,Landejendom med 6 værelser,-5%  5.995.000 kr.,6,185 m²,297.274 m²,55.483824,10.071872,Nordfyns Kommune
"Smedegyden 2A, Vester Kærby,  5320 Agedrup",https://www.boliga.dk/adresse/smedegyden-2a-5320-agedrup-2096443269,Landejendom med 7 værelser,5.995.000 kr.,7,226 m²,38.702 m²,55.433298,10.511707,Odense Kommune
"Nørre Vilstrup Bygade 11,  6100 Haderslev",https://www.boliga.dk/adresse/noerre-vilstrup-bygade-11-6100-haderslev-257801182,Landejendom med 6 værelser,5.995.000 kr.,6,218 m²,28.295 m²,55.207491,9.511685,Haderslev Kommune
"Grønholtvangen 23, Grønholt,  3480 Fredensborg",https://www.boliga.dk/adresse/groenholtvangen-23-3480-fredensborg-961178118,Landejendom med 4 værelser,-16%  12.995.000 kr.,4,212 m²,Ejerudgift: 14.132 kr. / md.,55.952093,12.377135,Fredensborg Kommune
"Landevejen 65, Jordløse,  5683 Haarby",https://www.boliga.dk/adresse/landevejen-65-5683-haarby-1416266416,Villa med 6 værelser,595.000 kr.,6,185 m²,4.000 m²,55.19483,10.154992,Assens Kommune
"Kalvehave 5, Husby,  5592 Ejby",https://www.boliga.dk/adresse/kalvehave-5-5592-ejby-23724943,Villa med 4 værelser,-7%  645.000 kr.,4,183 m²,1.787 m²,55.369007,9.848426,Middelfart Kommune
"Hamborgvej 4,  8970 Havndal",https://www.boliga.dk/adresse/hamborgvej-4-8970-havndal-1759610681,Villa med 3 værelser,-11%  795.000 kr.,3,104 m²,3.592 m²,56.649806,10.20772,Randers Kommune
"Lynglund 8,  9300 Sæby",https://www.boliga.dk/adresse/lynglund-8-9300-saeby-1842282978,Fritidshus med 3 værelser,-13%  995.000 kr.,3,66 m²,Ejerudgift: 1.294 kr. / md.,57.241453,10.530457,Frederikshavn Kommune
"Rybergsvej 25, Sønderby,  5631 Ebberup",https://www.boliga.dk/adresse/rybergsvej-25-5631-ebberup-1263013100,Villa med 4 værelser,-8%  1.095.000 kr.,4,112 m²,14.061 m²,55.240537,9.963622,Assens Kommune
"Vantingevej 34, Heden,  5750 Ringe",https://www.boliga.dk/adresse/vantingevej-34-5750-ringe-901356030,Villa med 9 værelser,1.195.000 kr.,9,224 m²,1.866 m²,55.247621,10.368222,Faaborg-Midtfyn Kommune
"Agathesvej 1,  9300 Sæby",https://www.boliga.dk/adresse/agathesvej-1-9300-saeby-700745589,Fritidshus med 3 værelser,1.395.000 kr.,3,40 m²,Ejerudgift: 1.313 kr. / md.,57.251621,10.547997,Frederikshavn Kommune
"Hadrupvej 90, Vedslet,  8732 Hovedgård",https://www.boliga.dk/adresse/hadrupvej-90-8732-hovedgaard-358264470,Landejendom med 8 værelser,-15%  1.695.000 kr.,8,203 m²,7.000 m²,55.96542,10.009641,Horsens Kommune
"Filippavej 72, Hundstrup,  5762 Vester Skerninge",https://www.boliga.dk/adresse/filippavej-72-5762-vester-skerninge-832152939,Villa med 5 værelser,-9%  1.995.000 kr.,5,220 m²,19.984 m²,55.105702,10.433889,Svendborg Kommune
"Holmsland Klitvej 84, Klegod,  6950 Ringkøbing",https://www.boliga.dk/adresse/holmsland-klitvej-84-6950-ringkoebing-579584154,Fritidshus med 5 værelser,-7%  2.495.000 kr.,5,224 m²,Ejerudgift: 3.170 kr. / md.,56.0919509,8.1244698,Ringkøbing-Skjern Kommune
"P Madsens Vej 4, Ramten,  8586 Ørum Djurs",https://www.boliga.dk/adresse/p-madsens-vej-4-8586-oerum-djurs-501830223,Villa med 5 værelser,2.695.000 kr.,5,302 m²,43.590 m²,56.436961,10.631459,Norddjurs Kommune
"Bundgårdsvej 75,  8450 Hammel",https://www.boliga.dk/adresse/bundgaardsvej-75-8450-hammel-912695687,Landejendom med 5 værelser,-7%  2.795.000 kr.,5,149 m²,73.700 m²,56.286955,9.95022,Favrskov Kommune
"Slåenvangen 31,  3120 Dronningmølle",https://www.boliga.dk/adresse/slaaenvangen-31-3120-dronningmoelle-842554598,Fritidshus med 2 værelser,2.850.000 kr.,2,81 m²,Ejerudgift: 3.004 kr. / md.,56.106795,12.358746,Gribskov Kommune
"Lemming Vesterbyvej 42,  8632 Lemming",https://www.boliga.dk/adresse/lemming-vesterbyvej-42-8632-lemming-1971416009,Landejendom med 5 værelser,-6%  2.995.000 kr.,5,152 m²,20.325 m²,56.237342,9.539214,Silkeborg Kommune
"Gl Ryevej 27, Sdr Vissing,  8740 Brædstrup",https://www.boliga.dk/adresse/gl-ryevej-27-8740-braedstrup-899933813,Villa med 7 værelser,5.498.000 kr.,7,203 m²,66.385 m²,56.032082,9.655291,Horsens Kommune
"Søren Gades Mark 21A,  6857 Blåvand",https://www.boliga.dk/adresse/soeren-gades-mark-21a-6857-blaavand-518363769,Fritidshus med 5 værelser,-4%  5.775.000 kr.,5,186 m²,Ejerudgift: 4.413 kr. / md.,55.552862,8.153512,Varde Kommune
"Klinten 9,  4400 Kalundborg",https://www.boliga.dk/adresse/klinten-9-4400-kalundborg-54282355,Fritidshus med 4 værelser,6.995.000 kr.,4,144 m²,Ejerudgift: 2.902 kr. / md.,55.725415,10.997115,Kalundborg Kommune
"Revet 7,  9800 Hjørring",https://www.boliga.dk/adresse/revet-7-9800-hjoerring-1573471386,Fritidshus med 7 værelser,9.700.000 kr.,7,118 m²,Ejerudgift: 3.795 kr. / md.,57.47468,9.798216,Hjørring Kommune
"Tøtmosen 78, Egense,  9280 Storvorde",https://www.boliga.dk/adresse/toetmosen-78-9280-storvorde-280105985,Fritidshus med 5 værelser,975.000 kr.,5,66 m²,Ejerudgift: 1.183 kr. / md.,,,
"Skovridervej 6,  9280 Storvorde",https://www.boliga.dk/adresse/skovridervej-6-9280-storvorde-1682535054,Villa med 6 værelser,-9%  995.000 kr.,6,128 m²,6.817 m²,56.941195,10.206095,Aalborg Kommune
"Nørhedevej 13, Sdr. Nissum,  6990 Ulfborg",https://www.boliga.dk/adresse/noerhedevej-13-6990-ulfborg-134864082,Villa med 5 værelser,1.095.000 kr.,5,200 m²,1.906 m²,56.307882,8.189014,Holstebro Kommune
"Agersigen 12, Vesterø Havn,  9940 Læsø",https://www.boliga.dk/adresse/agersigen-12-9940-laesoe-487018983,Villa med 4 værelser,-8%  1.195.000 kr.,4,152 m²,3.513 m²,57.283403,10.932245,Læsø Kommune
"Tranum Engevej 213,  9460 Brovst",https://www.boliga.dk/adresse/tranum-engevej-213-9460-brovst-2081058297,Landejendom med 8 værelser,-42%  1.600.000 kr.,8,250 m²,18.600 m²,57.148712,9.585282,Jammerbugt Kommune
"Vesterbæk 44,  9310 Vodskov",https://www.boliga.dk/adresse/vesterbaek-44-9310-vodskov-594245523,Fritidshus med 2 værelser,-14%  2.850.000 kr.,2,44 m²,Ejerudgift: 1.210 kr. / md.,57.129426,10.004824,Aalborg Kommune
"Billundvej 28,  6500 Vojens",https://www.boliga.dk/adresse/billundvej-28-6500-vojens-180593823,Landejendom med 8 værelser,2.895.000 kr.,8,188 m²,162.291 m²,55.269275,9.289717,Haderslev Kommune
"Alkevej 18, Klitlund,  9982 Ålbæk",https://www.boliga.dk/adresse/alkevej-18-9982-aalbaek-902565451?e=2149667,Fritidshus med 6 værelser,-9%  2.995.000 kr.,6,127 m²,Ejerudgift: 2.872 kr. / md.,,,
