Adresse,Link,Type,Pris,Værelser,Boligstørrelse,Grundstørrelse,latitude,longitude,kommune
"Gannebro 3,  4640 Faxe",https://www.boliga.dk/adresse/gannebro-3-4640-faxe-1552759840,Villa med 1 værelse,6.500.000 kr.,1,476 m²,2.791 m²,55.279832,12.162599,Faxe Kommune
"Flensborgvej 118,  6200 Aabenraa",https://www.boliga.dk/adresse/flensborgvej-118-6200-aabenraa-423740712,Villa med 11 værelser,7.500.000 kr.,11,281 m²,1.575 m²,55.024974,9.423818,Aabenraa Kommune
"Roskildevej 79,  4030 Tune",https://www.boliga.dk/adresse/roskildevej-79-4030-tune-1444253233,Villa med 20 værelser,7.995.000 kr.,20,294 m²,45.208 m²,55.602355,12.148344,Roskilde Kommune
"Rævskærvej 54,  9850 Hirtshals",https://www.boliga.dk/adresse/raevskaervej-54-9850-hirtshals-98076739,Landejendom med 5 værelser,8.500.000 kr.,5,152 m²,154.957 m²,57.536652,9.921612,Hjørring Kommune
"Ballesvej 3,  8940 Randers SV",https://www.boliga.dk/adresse/ballesvej-3-8940-randers-sv-968421421,Landejendom med 4 værelser,8.800.000 kr.,4,257 m²,48.835 m²,56.403215,10.009533,Randers Kommune
"Ved Majtræet 201,  5700 Svendborg",https://www.boliga.dk/adresse/ved-majtraeet-201-5700-svendborg-1494950050?e=2229111,Villa med 6 værelser,9.850.000 kr.,6,190 m²,1.739 m²,55.049784,10.670343,Svendborg Kommune
"Sdr. Jagtvej 26,  2970 Hørsholm",https://www.boliga.dk/adresse/sdr-jagtvej-26-2970-hoersholm-640831088,Villa med 5 værelser,11.745.000 kr.,5,220 m²,1.939 m²,55.875902,12.50828,Hørsholm Kommune
"Tinkerupvej 15, Tinkerup,  3080 Tikøb",https://www.boliga.dk/adresse/tinkerupvej-15-3080-tikoeb-434887460,Landejendom med 5 værelser,14.995.000 kr.,5,219 m²,184.792 m²,,,
"Margrethevej 8,  2840 Holte",https://www.boliga.dk/adresse/margrethevej-8-2840-holte-178759287,Villa med 7 værelser,15.000.000 kr.,7,248 m²,1.593 m²,55.814607,12.471875,Rudersdal Kommune
"Kalsholtvej 12,  8600 Silkeborg",https://www.boliga.dk/adresse/kalsholtvej-12-8600-silkeborg-1855894415,Villa med 8 værelser,22.900.000 kr.,8,300 m²,25.914 m²,56.127136,9.651747,Silkeborg Kommune
"Rungsted Strandvej 45,  2960 Rungsted Kyst",https://www.boliga.dk/adresse/rungsted-strandvej-45-2960-rungsted-kyst-941939576,Villa med 11 værelser,35.000.000 kr.,11,313 m²,5.656 m²,55.870334,12.54905,Hørsholm Kommune
